439;Borja Sánchez Laborde;es ESP;MF;Oviedo;29-318;1996;1;0;14;0.2;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0;0;1;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;Matches
440;Manu Sánchez;es ESP;DF;Levante;25-139;2000;15;15;1,301;14.5;1;1;2;1;0;0;5;0;0.5;0.5;1.1;1.6;31;42;68;0.07;0.07;0.14;0.07;0.14;0.04;0.08;0.11;0.04;0.11;Matches
441;Selton Sánchez;es ESP;MF;Athletic Club;18-324;2007;4;1;131;1.5;0;0;0;0;0;0;0;0;0.3;0.3;0.1;0.3;1;4;10;0.00;0.00;0.00;0.00;0.00;0.18;0.06;0.24;0.18;0.24;Matches
442;Álex Sancris;es ESP;MF,FW;Getafe;28-357;1997;14;5;629;7.0;0;1;1;0;0;0;3;1;0.3;0.3;0.8;1.1;17;8;46;0.00;0.14;0.14;0.00;0.14;0.05;0.11;0.16;0.05;0.16;Matches
443;Maroan Sannadi;ma MAR;FW;Athletic Club;24-343;2001;8;2;259;2.9;1;0;1;1;0;0;2;0;1.0;1.0;0.6;1.6;2;4;17;0.35;0.00;0.35;0.35;0.35;0.36;0.20;0.56;0.36;0.56;Matches
444;Baptiste Santamaria;fr FRA;MF;Valencia;30-307;1995;15;7;668;7.4;1;1;2;1;0;0;2;0;0.4;0.4;1.0;1.4;8;37;7;0.13;0.13;0.27;0.13;0.27;0.05;0.14;0.19;0.05;0.19;Matches
445;Yago Santiago;es ESP;MF,DF;Elche;22-270;2003;4;1;116;1.3;0;0;0;0;0;0;0;0;0.1;0.1;0.2;0.3;5;3;25;0.00;0.00;0.00;0.00;0.00;0.10;0.12;0.22;0.10;0.22;Matches
446;Nicolás Serrano;es ESP;FW;Athletic Club;22-311;2003;8;2;165;1.8;0;0;0;0;0;0;0;0;0.3;0.3;0.3;0.6;9;7;23;0.00;0.00;0.00;0.00;0.00;0.18;0.18;0.35;0.18;0.35;Matches
447;Kwasi Sibo;gh GHA;MF;Oviedo;27-200;1998;9;5;506;5.6;0;0;0;0;0;0;0;0;0.2;0.2;0.0;0.2;1;10;1;0.00;0.00;0.00;0.00;0.00;0.04;0.00;0.04;0.04;0.04;Matches
448;André Silva;pt POR;FW;Elche;30-065;1995;14;9;770;8.6;4;0;4;4;0;0;0;0;4.1;4.1;1.1;5.3;17;30;47;0.47;0.00;0.47;0.47;0.47;0.48;0.13;0.61;0.48;0.61;Matches
449;Giuliano Simeone;ar ARG;MF,FW;Atlético Madrid;23-023;2002;18;15;1,36;15.1;2;5;7;2;0;0;1;0;3.2;3.2;3.5;6.7;44;36;138;0.13;0.33;0.46;0.13;0.46;0.21;0.23;0.44;0.21;0.44;Matches
450;Unai Simón;es ESP;GK;Athletic Club;28-213;1997;19;19;1,71;19.0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;Matches
451;Antonio Sivera;es ESP;GK;Alavés;29-152;1996;18;18;1,62;18.0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;Matches
452;Alex Sola;es ESP;FW;Getafe;26-215;1999;1;0;13;0.1;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0;0;1;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;Matches
453;Carlos Soler;es ESP;MF;Real Sociedad;29-008;1997;16;10;941;10.5;2;1;3;2;0;0;2;0;1.6;1.6;0.8;2.5;17;66;23;0.19;0.10;0.29;0.19;0.29;0.16;0.08;0.24;0.16;0.24;Matches
454;Jhon Solis;co COL;MF;Girona;21-099;2004;12;3;380;4.2;0;0;0;0;0;0;0;0;0.2;0.2;0.0;0.2;5;12;4;0.00;0.00;0.00;0.00;0.00;0.04;0.01;0.05;0.04;0.05;Matches
455;Manor Solomon;il ISR;MF;Villarreal;26-170;1999;6;1;150;1.7;1;1;2;1;0;0;0;0;0.4;0.4;0.3;0.7;6;7;13;0.60;0.60;1.20;0.60;1.20;0.25;0.16;0.41;0.25;0.41;Matches
456;Hugo Solozabal;es ESP;MF;Getafe;22-337;2003;1;0;11;0.1;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;Matches
457;David Soria;es ESP;GK;Getafe;32-281;1993;19;19;1,71;19.0;0;0;0;0;0;0;2;0;0.0;0.0;0.0;0.0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;Matches
458;Hugo Sotelo;es ESP;MF;Celta Vigo;22-022;2003;12;9;771;8.6;0;1;1;0;0;0;1;0;0.1;0.1;1.2;1.2;12;56;7;0.00;0.12;0.12;0.00;0.12;0.01;0.13;0.15;0.01;0.15;Matches
459;Djibril Sow;ch SUI;MF;Sevilla;28-338;1997;14;13;1,006;11.2;2;0;2;2;0;0;3;0;0.6;0.6;0.5;1.1;15;48;25;0.18;0.00;0.18;0.18;0.18;0.05;0.05;0.10;0.05;0.10;Matches
460;Carl Starfelt;se SWE;DF;Celta Vigo;30-223;1995;11;9;779;8.7;0;0;0;0;0;0;3;1;0.4;0.4;0.0;0.4;0;13;0;0.00;0.00;0.00;0.00;0.00;0.05;0.00;0.05;0.05;0.05;Matches
461;Orri Steinn Óskarsson;is ISL;FW;Real Sociedad;21-134;2004;4;1;116;1.3;1;0;1;1;0;0;0;0;0.5;0.5;0.3;0.7;0;1;9;0.78;0.00;0.78;0.78;0.78;0.36;0.21;0.57;0.36;0.57;Matches
462;Cristhian Stuani;uy URU;FW;Girona;39-090;1986;9;1;203;2.3;3;0;3;0;3;3;2;0;2.7;0.5;0.0;0.5;0;1;3;1.33;0.00;1.33;0.00;0.00;1.19;0.00;1.19;0.20;0.20;Matches
463;Denis Suárez;es ESP;MF;Alavés;32-004;1994;16;10;865;9.6;1;0;1;1;0;0;4;0;0.7;0.7;1.1;1.9;14;57;19;0.10;0.00;0.10;0.10;0.10;0.07;0.12;0.19;0.07;0.19;Matches
464;Gabriel Suazo;cl CHI;DF,MF;Sevilla;28-154;1997;12;11;989;11.0;0;2;2;0;0;0;3;0;0.3;0.3;1.4;1.7;14;45;56;0.00;0.18;0.18;0.00;0.18;0.03;0.12;0.15;0.03;0.15;Matches
465;Luka Sučić;hr CRO;MF,FW;Real Sociedad;23-124;2002;7;2;235;2.6;0;0;0;0;0;0;0;0;0.4;0.4;0.2;0.5;5;12;10;0.00;0.00;0.00;0.00;0.00;0.14;0.06;0.20;0.14;0.20;Matches
466;Williot Swedberg;se SWE;FW,MF;Celta Vigo;21-343;2004;11;6;471;5.2;3;0;3;3;0;0;1;0;2.2;2.2;0.1;2.3;9;10;31;0.57;0.00;0.57;0.57;0.57;0.42;0.02;0.44;0.42;0.44;Matches
467;Wojciech Szczęsny;pl POL;GK;Barcelona;35-267;1990;6;6;540;6.0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;Matches
468;Alexander Sørloth;no NOR;FW;Atlético Madrid;30-036;1995;18;9;904;10.0;5;0;5;5;0;0;3;1;4.3;4.3;0.5;4.8;24;14;56;0.50;0.00;0.50;0.50;0.50;0.43;0.05;0.48;0.43;0.48;Matches
