Rk;Player;Nation;Pos;Squad;Age;Born;MP;Starts;Min;90s;Gls;Ast;G+A;G-PK;PK;PKatt;CrdY;CrdR;xG;npxG;xAG;npxG+xAG;PrgC;PrgP;PrgR;Gls;Ast;G+A;G-PK;G+A-PK;xG;xAG;xG+xAG;npxG;npxG+xAG;Matches
36;Kervin Arriaga;hn HON;MF;Levante;28-006;1998;14;10;898;10.0;1;1;2;1;0;0;4;0;0.2;0.2;0.4;0.6;8;34;6;0.10;0.10;0.20;0.10;0.20;0.02;0.04;0.06;0.02;0.06;Matches
37;Takuma Asano;jp JPN;FW;Mallorca;31-062;1994;13;5;401;4.5;1;0;1;1;0;0;2;0;1.1;1.1;0.9;2.0;8;2;20;0.22;0.00;0.22;0.22;0.22;0.25;0.21;0.46;0.25;0.46;Matches
38;Raúl Asencio;es ESP;DF;Real Madrid;22-332;2003;13;8;854;9.5;1;0;1;1;0;0;2;0;0.6;0.6;0.1;0.8;7;33;8;0.11;0.00;0.11;0.11;0.11;0.07;0.02;0.08;0.07;0.08;Matches
39;Iago Aspas;es ESP;FW,MF;Celta Vigo;38-163;1987;16;7;670;7.4;2;3;5;1;1;1;2;0;2.6;1.8;3.1;4.8;17;73;51;0.27;0.40;0.67;0.13;0.54;0.34;0.41;0.76;0.24;0.65;Matches
40;Yaser Asprilla;co COL;FW,MF;Girona;22-053;2003;14;6;593;6.6;0;0;0;0;0;0;0;0;0.6;0.6;1.7;2.2;20;22;51;0.00;0.00;0.00;0.00;0.00;0.09;0.25;0.34;0.09;0.34;Matches
41;Lander Astiazaran;es ESP;MF;Real Sociedad;19-279;2006;1;0;1;0.0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0;0;1;0.00;0.00;0.00;0.00;0.00;2.71;0.00;2.71;2.71;2.71;Matches
42;Ezequiel Ávila;ar ARG;FW,MF;Betis;31-339;1994;7;0;61;0.7;0;0;0;0;0;0;3;0;0.3;0.3;0.1;0.3;1;3;2;0.00;0.00;0.00;0.00;0.00;0.40;0.08;0.48;0.40;0.48;Matches
43;César Azpilicueta;es ESP;DF;Sevilla;36-136;1989;9;9;677;7.5;0;0;0;0;0;0;3;0;0.0;0.0;0.0;0.0;6;20;9;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;Matches
44;Alex Baena;es ESP;MF,FW;Atlético Madrid;24-175;2001;11;9;610;6.8;2;1;3;2;0;0;2;0;1.2;1.2;2.9;4.1;20;41;50;0.30;0.15;0.44;0.30;0.44;0.17;0.43;0.61;0.17;0.61;Matches
45;Eric Bailly;ci CIV;DF;Oviedo;31-274;1994;5;5;413;4.6;0;0;0;0;0;0;1;0;0.2;0.2;0.0;0.2;0;5;0;0.00;0.00;0.00;0.00;0.00;0.05;0.00;0.05;0.05;0.05;Matches
